Categorie,2024,2023,Note
Netto-omzet,1100,0,Revenue from services
Personeelskosten,-14922,-32650,Wages and salaries
Afschrijvingen,0,-871,Depreciation
Overige bedrijfskosten,-155885,-11470,Other operating costs
Bedrijfsresultaat,-169707,-44991,Calculated
Financiële baten en lasten,13600,10536,Interest and investment income
Resultaat voor belastingen,-156107,-34455,Calculated
Belastingen,0,1675,Corporate tax
Resultaat na belastingen,-156107,-32780,Calculated
Resultaat deelnemingen,0,-436,Share in results
